,type,value,start,end,name,createdAt,instanceId,id
146,Measurement,13,,,agent.ping.roundtriptime,2022-01-23T21:01:15,pop-os,32795
147,Counter,15974,,,agent.ping.count,2022-01-23T21:01:15,pop-os,32790
148,Measurement,14,,,agent.ping.roundtriptime,2022-01-23T21:01:13,pop-os,32794
149,Counter,15973,,,agent.ping.count,2022-01-23T21:01:13,pop-os,32789
150,Measurement,14,,,agent.ping.roundtriptime,2022-01-23T21:01:11,pop-os,32793
151,Counter,15972,,,agent.ping.count,2022-01-23T21:01:11,pop-os,32788
152,Measurement,27,,,agent.ping.roundtriptime,2022-01-23T21:01:09,pop-os,32792
153,Counter,15971,,,agent.ping.count,2022-01-23T21:01:09,pop-os,32787
154,Measurement,13,,,agent.ping.roundtriptime,2022-01-23T21:01:07,pop-os,32791
155,Counter,15970,,,agent.ping.count,2022-01-23T21:01:07,pop-os,32786
156,Measurement,11,,,agent.ping.roundtriptime,2022-01-23T21:01:04,pop-os,32785
157,Measurement,1,2022-01-23T20:43:39,2022-01-23T21:01:04,agent.ping.average.failure,2022-01-23T21:01:04,pop-os,32784
158,Counter,15969,,,agent.ping.count,2022-01-23T21:01:04,pop-os,32782
159,Measurement,93,,,agent.ping.roundtriptime,2022-01-23T21:01:02,pop-os,32783
160,Counter,15968,,,agent.ping.count,2022-01-23T21:01:02,pop-os,32781
161,Counter,15967,,,agent.ping.count,2022-01-23T21:01:00,pop-os,32780
162,Counter,15966,,,agent.ping.count,2022-01-23T21:00:58,pop-os,32779
163,Counter,15965,,,agent.ping.count,2022-01-23T21:00:56,pop-os,32778
164,Counter,15964,,,agent.ping.count,2022-01-23T21:00:54,pop-os,32777
165,Counter,15963,,,agent.ping.count,2022-01-23T21:00:52,pop-os,32776
166,Measurement,13,,,agent.ping.roundtriptime,2022-01-23T21:00:50,pop-os,32775
167,Counter,15962,,,agent.ping.count,2022-01-23T21:00:50,pop-os,32770
168,Measurement,25,,,agent.ping.roundtriptime,2022-01-23T21:00:48,pop-os,32774
169,Counter,15961,,,agent.ping.count,2022-01-23T21:00:48,pop-os,32769
170,Measurement,17,,,agent.ping.roundtriptime,2022-01-23T21:00:45,pop-os,32773
171,Counter,15960,,,agent.ping.count,2022-01-23T21:00:45,pop-os,32768
172,Measurement,18,,,agent.ping.roundtriptime,2022-01-23T21:00:43,pop-os,32772
173,Measurement,0,2022-01-23T20:43:39,2022-01-23T21:00:43,agent.ping.average.failure,2022-01-23T21:00:43,pop-os,32771
174,Counter,15959,,,agent.ping.count,2022-01-23T21:00:43,pop-os,32767
175,Counter,15958,,,agent.ping.count,2022-01-23T21:00:41,pop-os,32766
176,Measurement,14,,,agent.ping.roundtriptime,2022-01-23T21:00:41,pop-os,32765
177,Measurement,14,,,agent.ping.roundtriptime,2022-01-23T21:00:39,pop-os,32764
178,Counter,15957,,,agent.ping.count,2022-01-23T21:00:39,pop-os,32760
179,Measurement,14,,,agent.ping.roundtriptime,2022-01-23T21:00:37,pop-os,32763
180,Counter,15956,,,agent.ping.count,2022-01-23T21:00:37,pop-os,32759
181,Measurement,17,,,agent.ping.roundtriptime,2022-01-23T21:00:35,pop-os,32762
182,Counter,15955,,,agent.ping.count,2022-01-23T21:00:35,pop-os,32758
183,Measurement,12,,,agent.ping.roundtriptime,2022-01-23T21:00:33,pop-os,32761
184,Counter,15954,,,agent.ping.count,2022-01-23T21:00:33,pop-os,32757
185,Counter,15953,,,agent.ping.count,2022-01-23T21:00:31,pop-os,32756
186,Measurement,22,,,agent.ping.roundtriptime,2022-01-23T21:00:31,pop-os,32755
187,Measurement,16,,,agent.ping.roundtriptime,2022-01-23T21:00:29,pop-os,32754
188,Counter,15952,,,agent.ping.count,2022-01-23T21:00:29,pop-os,32749
189,Measurement,49,,,agent.ping.roundtriptime,2022-01-23T21:00:27,pop-os,32753
190,Counter,15951,,,agent.ping.count,2022-01-23T21:00:27,pop-os,32748
191,Measurement,24,,,agent.ping.roundtriptime,2022-01-23T21:00:25,pop-os,32752
192,Counter,15950,,,agent.ping.count,2022-01-23T21:00:25,pop-os,32747
193,Measurement,17,,,agent.ping.roundtriptime,2022-01-23T21:00:23,pop-os,32751
194,Measurement,0,2022-01-23T20:43:39,2022-01-23T21:00:23,agent.ping.average.failure,2022-01-23T21:00:23,pop-os,32750
195,Counter,15949,,,agent.ping.count,2022-01-23T21:00:23,pop-os,32746
196,Measurement,20,,,agent.ping.roundtriptime,2022-01-23T21:00:21,pop-os,32745
197,Counter,15948,,,agent.ping.count,2022-01-23T21:00:21,pop-os,32740
198,Measurement,12,,,agent.ping.roundtriptime,2022-01-23T21:00:19,pop-os,32744
199,Counter,15947,,,agent.ping.count,2022-01-23T21:00:19,pop-os,32739
200,Measurement,19,,,agent.ping.roundtriptime,2022-01-23T21:00:17,pop-os,32743
201,Counter,15946,,,agent.ping.count,2022-01-23T21:00:17,pop-os,32738
202,Measurement,54,,,agent.ping.roundtriptime,2022-01-23T21:00:15,pop-os,32742
203,Counter,15945,,,agent.ping.count,2022-01-23T21:00:15,pop-os,32737
204,Measurement,13,,,agent.ping.roundtriptime,2022-01-23T21:00:13,pop-os,32741
205,Counter,15944,,,agent.ping.count,2022-01-23T21:00:13,pop-os,32736
206,Measurement,81,,,agent.ping.roundtriptime,2022-01-23T21:00:11,pop-os,32735
207,Counter,15943,,,agent.ping.count,2022-01-23T21:00:11,pop-os,32730
208,Measurement,14,,,agent.ping.roundtriptime,2022-01-23T21:00:08,pop-os,32734
209,Counter,15942,,,agent.ping.count,2022-01-23T21:00:08,pop-os,32729
210,Measurement,30,,,agent.ping.roundtriptime,2022-01-23T21:00:06,pop-os,32733
211,Counter,15941,,,agent.ping.count,2022-01-23T21:00:06,pop-os,32728
212,Measurement,16,,,agent.ping.roundtriptime,2022-01-23T21:00:04,pop-os,32732
213,Counter,15940,,,agent.ping.count,2022-01-23T21:00:04,pop-os,32727
214,Measurement,13,,,agent.ping.roundtriptime,2022-01-23T21:00:02,pop-os,32731
215,Counter,15939,,,agent.ping.count,2022-01-23T21:00:02,pop-os,32726
216,Measurement,0,2022-01-23T20:43:39,2022-01-23T21:00:02,agent.ping.average.failure,2022-01-23T21:00:02,pop-os,32725
217,Measurement,11,,,agent.ping.roundtriptime,2022-01-23T21:00:00,pop-os,32724
218,Counter,15938,,,agent.ping.count,2022-01-23T21:00:00,pop-os,32720
219,Measurement,14,,,agent.ping.roundtriptime,2022-01-23T20:59:58,pop-os,32723
220,Counter,15937,,,agent.ping.count,2022-01-23T20:59:58,pop-os,32719
221,Measurement,21,,,agent.ping.roundtriptime,2022-01-23T20:59:56,pop-os,32722
222,Counter,15936,,,agent.ping.count,2022-01-23T20:59:56,pop-os,32718
223,Measurement,14,,,agent.ping.roundtriptime,2022-01-23T20:59:54,pop-os,32721
224,Counter,15935,,,agent.ping.count,2022-01-23T20:59:54,pop-os,32717
225,Counter,15934,,,agent.ping.count,2022-01-23T20:59:52,pop-os,32716
226,Measurement,13,,,agent.ping.roundtriptime,2022-01-23T20:59:52,pop-os,32715
227,Measurement,21,,,agent.ping.roundtriptime,2022-01-23T20:59:50,pop-os,32714
228,Counter,15933,,,agent.ping.count,2022-01-23T20:59:50,pop-os,32710
229,Measurement,59,,,agent.ping.roundtriptime,2022-01-23T20:59:48,pop-os,32713
230,Counter,15932,,,agent.ping.count,2022-01-23T20:59:48,pop-os,32709
231,Measurement,14,,,agent.ping.roundtriptime,2022-01-23T20:59:46,pop-os,32712
232,Counter,15931,,,agent.ping.count,2022-01-23T20:59:46,pop-os,32708
233,Measurement,20,,,agent.ping.roundtriptime,2022-01-23T20:59:44,pop-os,32711
234,Counter,15930,,,agent.ping.count,2022-01-23T20:59:44,pop-os,32707
235,Counter,15929,,,agent.ping.count,2022-01-23T20:59:42,pop-os,32706
236,Measurement,14,,,agent.ping.roundtriptime,2022-01-23T20:59:42,pop-os,32705
237,Measurement,0,2022-01-23T20:43:39,2022-01-23T20:59:42,agent.ping.average.failure,2022-01-23T20:59:42,pop-os,32704
238,Measurement,28,,,agent.ping.roundtriptime,2022-01-23T20:59:40,pop-os,32703
239,Counter,15928,,,agent.ping.count,2022-01-23T20:59:40,pop-os,32699
