type,value,start,end,name,createdAt,instanceId
Counter,15968,,,agent.ping.count,2022-01-23T21:01:02,pop-os
Counter,15967,,,agent.ping.count,2022-01-23T21:01:00,pop-os
Counter,15966,,,agent.ping.count,2022-01-23T21:00:58,pop-os
Counter,15965,,,agent.ping.count,2022-01-23T21:00:56,pop-os
Counter,15964,,,agent.ping.count,2022-01-23T21:00:54,pop-os
Counter,15963,,,agent.ping.count,2022-01-23T21:00:52,pop-os
Measurement,13,,,agent.ping.roundtriptime,2022-01-23T21:00:50,pop-os
Counter,15962,,,agent.ping.count,2022-01-23T21:00:50,pop-os
Measurement,25,,,agent.ping.roundtriptime,2022-01-23T21:00:48,pop-os
Counter,15961,,,agent.ping.count,2022-01-23T21:00:48,pop-os
Measurement,17,,,agent.ping.roundtriptime,2022-01-23T21:00:45,pop-os
Counter,15960,,,agent.ping.count,2022-01-23T21:00:45,pop-os
Measurement,18,,,agent.ping.roundtriptime,2022-01-23T21:00:43,pop-os
Measurement,0,2022-01-23T20:43:39,2022-01-23T21:00:43,agent.ping.average.failure,2022-01-23T21:00:43,pop-os
Counter,15959,,,agent.ping.count,2022-01-23T21:00:43,pop-os
Counter,15958,,,agent.ping.count,2022-01-23T21:00:41,pop-os
Measurement,14,,,agent.ping.roundtriptime,2022-01-23T21:00:41,pop-os
Measurement,14,,,agent.ping.roundtriptime,2022-01-23T21:00:39,pop-os
Counter,15957,,,agent.ping.count,2022-01-23T21:00:39,pop-os
Measurement,14,,,agent.ping.roundtriptime,2022-01-23T21:00:37,pop-os
Counter,15956,,,agent.ping.count,2022-01-23T21:00:37,pop-os
Measurement,17,,,agent.ping.roundtriptime,2022-01-23T21:00:35,pop-os
Counter,15955,,,agent.ping.count,2022-01-23T21:00:35,pop-os
Measurement,12,,,agent.ping.roundtriptime,2022-01-23T21:00:33,pop-os
Counter,15954,,,agent.ping.count,2022-01-23T21:00:33,pop-os
Counter,15953,,,agent.ping.count,2022-01-23T21:00:31,pop-os
Measurement,22,,,agent.ping.roundtriptime,2022-01-23T21:00:31,pop-os
Measurement,16,,,agent.ping.roundtriptime,2022-01-23T21:00:29,pop-os
Counter,15952,,,agent.ping.count,2022-01-23T21:00:29,pop-os
Measurement,49,,,agent.ping.roundtriptime,2022-01-23T21:00:27,pop-os
Counter,15951,,,agent.ping.count,2022-01-23T21:00:27,pop-os
Measurement,24,,,agent.ping.roundtriptime,2022-01-23T21:00:25,pop-os
Counter,15950,,,agent.ping.count,2022-01-23T21:00:25,pop-os
Measurement,17,,,agent.ping.roundtriptime,2022-01-23T21:00:23,pop-os
Measurement,0,2022-01-23T20:43:39,2022-01-23T21:00:23,agent.ping.average.failure,2022-01-23T21:00:23,pop-os
Counter,15949,,,agent.ping.count,2022-01-23T21:00:23,pop-os
Measurement,20,,,agent.ping.roundtriptime,2022-01-23T21:00:21,pop-os
Counter,15948,,,agent.ping.count,2022-01-23T21:00:21,pop-os
Measurement,12,,,agent.ping.roundtriptime,2022-01-23T21:00:19,pop-os
Counter,15947,,,agent.ping.count,2022-01-23T21:00:19,pop-os
Measurement,19,,,agent.ping.roundtriptime,2022-01-23T21:00:17,pop-os
Counter,15946,,,agent.ping.count,2022-01-23T21:00:17,pop-os
Measurement,54,,,agent.ping.roundtriptime,2022-01-23T21:00:15,pop-os
Counter,15945,,,agent.ping.count,2022-01-23T21:00:15,pop-os
Measurement,13,,,agent.ping.roundtriptime,2022-01-23T21:00:13,pop-os
Counter,15944,,,agent.ping.count,2022-01-23T21:00:13,pop-os
Measurement,81,,,agent.ping.roundtriptime,2022-01-23T21:00:11,pop-os
Counter,15943,,,agent.ping.count,2022-01-23T21:00:11,pop-os
Measurement,14,,,agent.ping.roundtriptime,2022-01-23T21:00:08,pop-os
Counter,15942,,,agent.ping.count,2022-01-23T21:00:08,pop-os
Measurement,30,,,agent.ping.roundtriptime,2022-01-23T21:00:06,pop-os
Counter,15941,,,agent.ping.count,2022-01-23T21:00:06,pop-os
Measurement,16,,,agent.ping.roundtriptime,2022-01-23T21:00:04,pop-os
Counter,15940,,,agent.ping.count,2022-01-23T21:00:04,pop-os
Measurement,13,,,agent.ping.roundtriptime,2022-01-23T21:00:02,pop-os
Counter,15939,,,agent.ping.count,2022-01-23T21:00:02,pop-os
Measurement,0,2022-01-23T20:43:39,2022-01-23T21:00:02,agent.ping.average.failure,2022-01-23T21:00:02,pop-os
Measurement,11,,,agent.ping.roundtriptime,2022-01-23T21:00:00,pop-os
Counter,15938,,,agent.ping.count,2022-01-23T21:00:00,pop-os
Measurement,14,,,agent.ping.roundtriptime,2022-01-23T20:59:58,pop-os
Counter,15937,,,agent.ping.count,2022-01-23T20:59:58,pop-os
Measurement,21,,,agent.ping.roundtriptime,2022-01-23T20:59:56,pop-os
Counter,15936,,,agent.ping.count,2022-01-23T20:59:56,pop-os
Measurement,14,,,agent.ping.roundtriptime,2022-01-23T20:59:54,pop-os
Counter,15935,,,agent.ping.count,2022-01-23T20:59:54,pop-os
Counter,15934,,,agent.ping.count,2022-01-23T20:59:52,pop-os
Measurement,13,,,agent.ping.roundtriptime,2022-01-23T20:59:52,pop-os
Measurement,21,,,agent.ping.roundtriptime,2022-01-23T20:59:50,pop-os
Counter,15933,,,agent.ping.count,2022-01-23T20:59:50,pop-os
Measurement,59,,,agent.ping.roundtriptime,2022-01-23T20:59:48,pop-os
Counter,15932,,,agent.ping.count,2022-01-23T20:59:48,pop-os
Measurement,14,,,agent.ping.roundtriptime,2022-01-23T20:59:46,pop-os
Counter,15931,,,agent.ping.count,2022-01-23T20:59:46,pop-os
Measurement,20,,,agent.ping.roundtriptime,2022-01-23T20:59:44,pop-os
Counter,15930,,,agent.ping.count,2022-01-23T20:59:44,pop-os
Counter,15929,,,agent.ping.count,2022-01-23T20:59:42,pop-os
Measurement,14,,,agent.ping.roundtriptime,2022-01-23T20:59:42,pop-os
Measurement,0,2022-01-23T20:43:39,2022-01-23T20:59:42,agent.ping.average.failure,2022-01-23T20:59:42,pop-os
Measurement,28,,,agent.ping.roundtriptime,2022-01-23T20:59:40,pop-os
Counter,15928,,,agent.ping.count,2022-01-23T20:59:40,pop-os
Measurement,13,,,agent.ping.roundtriptime,2022-01-23T20:59:38,pop-os
Counter,15927,,,agent.ping.count,2022-01-23T20:59:38,pop-os
Measurement,13,,,agent.ping.roundtriptime,2022-01-23T20:59:36,pop-os
Counter,15926,,,agent.ping.count,2022-01-23T20:59:36,pop-os
Measurement,16,,,agent.ping.roundtriptime,2022-01-23T20:59:34,pop-os
Counter,15925,,,agent.ping.count,2022-01-23T20:59:34,pop-os
Measurement,24,,,agent.ping.roundtriptime,2022-01-23T20:59:31,pop-os
Counter,15924,,,agent.ping.count,2022-01-23T20:59:31,pop-os
Measurement,13,,,agent.ping.roundtriptime,2022-01-23T20:59:29,pop-os
Counter,15923,,,agent.ping.count,2022-01-23T20:59:29,pop-os
Measurement,17,,,agent.ping.roundtriptime,2022-01-23T20:59:27,pop-os
Counter,15922,,,agent.ping.count,2022-01-23T20:59:27,pop-os
Measurement,13,,,agent.ping.roundtriptime,2022-01-23T20:59:25,pop-os
Counter,15921,,,agent.ping.count,2022-01-23T20:59:25,pop-os
Measurement,19,,,agent.ping.roundtriptime,2022-01-23T20:59:23,pop-os
Counter,15920,,,agent.ping.count,2022-01-23T20:59:23,pop-os
Measurement,16,,,agent.ping.roundtriptime,2022-01-23T20:59:21,pop-os
Measurement,0,2022-01-23T20:43:39,2022-01-23T20:59:21,agent.ping.average.failure,2022-01-23T20:59:21,pop-os
Counter,15919,,,agent.ping.count,2022-01-23T20:59:21,pop-os
Measurement,25,,,agent.ping.roundtriptime,2022-01-23T20:59:19,pop-os
Counter,15918,,,agent.ping.count,2022-01-23T20:59:19,pop-os
Measurement,14,,,agent.ping.roundtriptime,2022-01-23T20:59:17,pop-os
Counter,15917,,,agent.ping.count,2022-01-23T20:59:17,pop-os
Measurement,14,,,agent.ping.roundtriptime,2022-01-23T20:59:15,pop-os
Counter,15916,,,agent.ping.count,2022-01-23T20:59:15,pop-os
Counter,15915,,,agent.ping.count,2022-01-23T20:59:13,pop-os
Measurement,12,,,agent.ping.roundtriptime,2022-01-23T20:59:13,pop-os
Measurement,27,,,agent.ping.roundtriptime,2022-01-23T20:59:11,pop-os
Counter,15914,,,agent.ping.count,2022-01-23T20:59:11,pop-os
Measurement,13,,,agent.ping.roundtriptime,2022-01-23T20:59:09,pop-os
Counter,15913,,,agent.ping.count,2022-01-23T20:59:09,pop-os
Measurement,12,,,agent.ping.roundtriptime,2022-01-23T20:59:07,pop-os
Counter,15912,,,agent.ping.count,2022-01-23T20:59:07,pop-os
Measurement,15,,,agent.ping.roundtriptime,2022-01-23T20:59:05,pop-os
Counter,15911,,,agent.ping.count,2022-01-23T20:59:05,pop-os
Counter,15910,,,agent.ping.count,2022-01-23T20:59:03,pop-os
Measurement,21,,,agent.ping.roundtriptime,2022-01-23T20:59:03,pop-os
Measurement,18,,,agent.ping.roundtriptime,2022-01-23T20:59:01,pop-os
Measurement,0,2022-01-23T20:43:39,2022-01-23T20:59:01,agent.ping.average.failure,2022-01-23T20:59:01,pop-os
Counter,15909,,,agent.ping.count,2022-01-23T20:59:01,pop-os
Measurement,14,,,agent.ping.roundtriptime,2022-01-23T20:58:59,pop-os
Counter,15908,,,agent.ping.count,2022-01-23T20:58:59,pop-os
Measurement,28,,,agent.ping.roundtriptime,2022-01-23T20:58:57,pop-os
Counter,15907,,,agent.ping.count,2022-01-23T20:58:57,pop-os
Measurement,28,,,agent.ping.roundtriptime,2022-01-23T20:58:55,pop-os
Counter,15906,,,agent.ping.count,2022-01-23T20:58:55,pop-os
Measurement,18,,,agent.ping.roundtriptime,2022-01-23T20:58:53,pop-os
Counter,15905,,,agent.ping.count,2022-01-23T20:58:53,pop-os
Measurement,12,,,agent.ping.roundtriptime,2022-01-23T20:58:50,pop-os
Counter,15904,,,agent.ping.count,2022-01-23T20:58:50,pop-os
Measurement,16,,,agent.ping.roundtriptime,2022-01-23T20:58:48,pop-os
Counter,15903,,,agent.ping.count,2022-01-23T20:58:48,pop-os
Measurement,22,,,agent.ping.roundtriptime,2022-01-23T20:58:46,pop-os
Counter,15902,,,agent.ping.count,2022-01-23T20:58:46,pop-os
Measurement,15,,,agent.ping.roundtriptime,2022-01-23T20:58:44,pop-os
Counter,15901,,,agent.ping.count,2022-01-23T20:58:44,pop-os
Measurement,14,,,agent.ping.roundtriptime,2022-01-23T20:58:42,pop-os
Counter,15900,,,agent.ping.count,2022-01-23T20:58:42,pop-os
Measurement,12,,,agent.ping.roundtriptime,2022-01-23T20:58:40,pop-os
Measurement,0,2022-01-23T20:43:39,2022-01-23T20:58:40,agent.ping.average.failure,2022-01-23T20:58:40,pop-os
Counter,15899,,,agent.ping.count,2022-01-23T20:58:40,pop-os
Measurement,1,,,pop-os.heartbeat,2022-01-23T20:58:39,pop-os
Measurement,16,,,agent.ping.roundtriptime,2022-01-23T20:58:38,pop-os
Counter,15898,,,agent.ping.count,2022-01-23T20:58:38,pop-os
Measurement,12,,,agent.ping.roundtriptime,2022-01-23T20:58:36,pop-os
